iso_code,location,date,new_cases
IND,India,1/30/20,1
IND,India,1/31/20,0
IND,India,2/1/20,0
IND,India,2/2/20,1
IND,India,2/3/20,1
IND,India,2/4/20,0
IND,India,2/5/20,0
IND,India,2/6/20,0
IND,India,2/7/20,0
IND,India,2/8/20,0
IND,India,2/9/20,0
IND,India,2/10/20,0
IND,India,2/11/20,0
IND,India,2/12/20,0
IND,India,2/13/20,0
IND,India,2/14/20,0
IND,India,2/15/20,0
IND,India,2/16/20,0
IND,India,2/17/20,0
IND,India,2/18/20,0
IND,India,2/19/20,0
IND,India,2/20/20,0
IND,India,2/21/20,0
IND,India,2/22/20,0
IND,India,2/23/20,0
IND,India,2/24/20,0
IND,India,2/25/20,0
IND,India,2/26/20,0
IND,India,2/27/20,0
IND,India,2/28/20,0
IND,India,2/29/20,0
IND,India,3/1/20,0
IND,India,3/2/20,2
IND,India,3/3/20,0
IND,India,3/4/20,23
IND,India,3/5/20,2
IND,India,3/6/20,1
IND,India,3/7/20,3
IND,India,3/8/20,5
IND,India,3/9/20,4
IND,India,3/10/20,13
IND,India,3/11/20,6
IND,India,3/12/20,11
IND,India,3/13/20,9
IND,India,3/14/20,20
IND,India,3/15/20,11
IND,India,3/16/20,6
IND,India,3/17/20,23
IND,India,3/18/20,14
IND,India,3/19/20,38
IND,India,3/20/20,50
IND,India,3/21/20,86
IND,India,3/22/20,66
IND,India,3/23/20,103
IND,India,3/24/20,37
IND,India,3/25/20,121
IND,India,3/26/20,70
IND,India,3/27/20,160
IND,India,3/28/20,100
IND,India,3/29/20,37
IND,India,3/30/20,227
IND,India,3/31/20,146
IND,India,4/1/20,601
IND,India,4/2/20,545
IND,India,4/3/20,24
IND,India,4/4/20,515
IND,India,4/5/20,506
IND,India,4/6/20,1190
IND,India,4/7/20,533
IND,India,4/8/20,605
IND,India,4/9/20,809
IND,India,4/10/20,873
IND,India,4/11/20,848
IND,India,4/12/20,759
IND,India,4/13/20,1248
IND,India,4/14/20,1034
IND,India,4/15/20,835
IND,India,4/16/20,1108
IND,India,4/17/20,922
IND,India,4/18/20,1370
IND,India,4/19/20,1893
IND,India,4/20/20,924
IND,India,4/21/20,1541
IND,India,4/22/20,1290
IND,India,4/23/20,1707
IND,India,4/24/20,1453
IND,India,4/25/20,1753
IND,India,4/26/20,1607
IND,India,4/27/20,1561
IND,India,4/28/20,1873
IND,India,4/29/20,1738
IND,India,4/30/20,1801
IND,India,5/1/20,2394
IND,India,5/2/20,2442
IND,India,5/3/20,2806
IND,India,5/4/20,3932
IND,India,5/5/20,2963
IND,India,5/6/20,3587
IND,India,5/7/20,3364
IND,India,5/8/20,3344
IND,India,5/9/20,3113
IND,India,5/10/20,4353
IND,India,5/11/20,3607
IND,India,5/12/20,3524
IND,India,5/13/20,3763
IND,India,5/14/20,3942
IND,India,5/15/20,3787
IND,India,5/16/20,4864
IND,India,5/17/20,5050
IND,India,5/18/20,4630
IND,India,5/19/20,6147
IND,India,5/20/20,5553
IND,India,5/21/20,6198
IND,India,5/22/20,6568
IND,India,5/23/20,6629
IND,India,5/24/20,7113
IND,India,5/25/20,6414
IND,India,5/26/20,5843
IND,India,5/27/20,7293
IND,India,5/28/20,7300
IND,India,5/29/20,8105
IND,India,5/30/20,8336
IND,India,5/31/20,8782
IND,India,6/1/20,7761
IND,India,6/2/20,8821
IND,India,6/3/20,9633
IND,India,6/4/20,9889
IND,India,6/5/20,9471
IND,India,6/6/20,10438
IND,India,6/7/20,10864
IND,India,6/8/20,8442
IND,India,6/9/20,10218
IND,India,6/10/20,10459
IND,India,6/11/20,10930
IND,India,6/12/20,11458
IND,India,6/13/20,11929
