date,ind_new_cases,us_new_cases
1/22/20,0,1
1/23/20,0,0
1/24/20,0,1
1/25/20,0,0
1/26/20,0,3
1/27/20,0,0
1/28/20,0,0
1/29/20,0,1
1/30/20,1,0
1/31/20,0,2
2/1/20,0,0
2/2/20,1,0
2/3/20,1,3
2/4/20,0,0
2/5/20,0,0
2/6/20,0,1
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,1
2/12/20,0,0
2/13/20,0,1
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,2
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,0,1
2/28/20,0,0
2/29/20,0,8
3/1/20,0,7
3/2/20,2,23
3/3/20,0,19
3/4/20,23,33
3/5/20,2,77
3/6/20,1,53
3/7/20,3,166
3/8/20,5,116
3/9/20,4,75
3/10/20,13,188
3/11/20,6,365
3/12/20,11,439
3/13/20,9,633
3/14/20,20,759
3/15/20,11,234
3/16/20,6,1467
3/17/20,23,1833
3/18/20,14,2657
3/19/20,38,4494
3/20/20,50,6367
3/21/20,86,5995
3/22/20,66,8873
3/23/20,103,11238
3/24/20,37,10619
3/25/20,121,12082
3/26/20,70,17856
3/27/20,160,18690
3/28/20,100,19630
3/29/20,37,18899
3/30/20,227,22075
3/31/20,146,26314
4/1/20,601,32286
4/2/20,545,32222
4/3/20,24,32307
4/4/20,515,32386
4/5/20,506,29895
4/6/20,1190,31390
4/7/20,533,30779
4/8/20,605,31235
4/9/20,809,35942
4/10/20,873,34403
4/11/20,848,29083
4/12/20,759,27256
4/13/20,1248,26939
4/14/20,1034,28818
4/15/20,835,25408
4/16/20,1108,30002
4/17/20,922,33066
4/18/20,1370,27907
4/19/20,1893,26062
4/20/20,924,29820
4/21/20,1541,25926
4/22/20,1290,28911
4/23/20,1707,33612
4/24/20,1453,32327
4/25/20,1753,30380
4/26/20,1607,26488
4/27/20,1561,23715
4/28/20,1873,24575
4/29/20,1738,26459
4/30/20,1801,29205
5/1/20,2394,34907
5/2/20,2442,27348
5/3/20,2806,24321
5/4/20,3932,24068
5/5/20,2963,24528
5/6/20,3587,24569
5/7/20,3364,27429
5/8/20,3344,26830
5/9/20,3113,25176
5/10/20,4353,18805
5/11/20,3607,19298
5/12/20,3524,22927
5/13/20,3763,20433
5/14/20,3942,26817
5/15/20,3787,24733
5/16/20,4864,24135
5/17/20,5050,18388
5/18/20,4630,22389
5/19/20,6147,20979
5/20/20,5553,22725
5/21/20,6198,25769
5/22/20,6568,23649
5/23/20,6629,21099
5/24/20,7113,20077
5/25/20,6414,18662
5/26/20,5843,19663
5/27/20,7293,18551
5/28/20,7300,22320
5/29/20,8105,24478
5/30/20,8336,23632
5/31/20,8782,18983
6/1/20,7761,17414
6/2/20,8821,21502
6/3/20,9633,19857
6/4/20,9889,21658
6/5/20,9471,25403
6/6/20,10438,21142
6/7/20,10864,17928
6/8/20,8442,17616
6/9/20,10218,18383
6/10/20,10459,21111
6/11/20,10930,23166
6/12/20,11458,24828
6/13/20,11929,25212
6/14/20,11502,18941
6/15/20,10667,19827
6/16/20,10974,23667
6/17/20,12881,27072
6/18/20,13586,28537
6/19/20,14516,31544
6/20/20,15403,32280
6/21/20,14831,25150
6/22/20,14933,32144
6/23/20,15968,37072
6/24/20,16922,35878
6/25/20,17296,40326
6/26/20,18552,45999
6/27/20,19906,41330
6/28/20,19459,40734
6/29/20,18522,41299
6/30/20,18641,46420
7/1/20,19160,51820
7/2/20,20903,56636
7/3/20,22771,51351
7/4/20,24850,45693
7/5/20,24248,50747
7/6/20,22251,43106
7/7/20,22753,60661
7/8/20,24879,60119
7/9/20,26506,62509
7/10/20,27114,68057
7/11/20,28606,60017
7/12/20,28732,58424
7/13/20,28498,58930
7/14/20,29429,68051
7/15/20,32676,68090
7/16/20,34975,75866
7/17/20,35252,72236
7/18/20,38697,62536
7/19/20,40425,60456
7/20/20,37132,62107
7/21/20,37740,64461
7/22/20,45720,70579
7/23/20,49310,68445
7/24/20,48916,73319
7/25/20,48611,64953
7/26/20,49981,54816
7/27/20,44457,56783
7/28/20,51596,66412
7/29/20,50294,71873
7/30/20,52783,67466
7/31/20,61242,68712
8/1/20,54735,56201
8/2/20,52972,45568
8/3/20,52050,45501
8/4/20,52509,58774
8/5/20,56282,54466
8/6/20,62538,59349
8/7/20,61537,59303
8/8/20,64399,54134
8/9/20,62064,45769
8/10/20,53601,47606
8/11/20,60963,48003
8/12/20,66999,56040
8/13/20,64553,51316
8/14/20,64732,65336
8/15/20,64030,46951
8/16/20,57711,39212
8/17/20,55018,36652
8/18/20,64572,45033
8/19/20,69672,47320
8/20/20,68900,44041
8/21/20,69876,48843
8/22/20,69239,43064
8/23/20,61408,34247
8/24/20,60975,36482
8/25/20,57224,40354
8/26/20,85687,45172
8/27/20,77266,45393
8/28/20,76472,46832
8/29/20,78761,42754
8/30/20,78512,34404
8/31/20,69921,35362
9/1/20,78357,41846
9/2/20,83883,41018
9/3/20,83341,44251
9/4/20,86432,50382
9/5/20,90632,43158
9/6/20,90802,31218
9/7/20,75809,23613
9/8/20,89706,27226
9/9/20,95735,34049
9/10/20,96551,36056
9/11/20,97570,47769
9/12/20,94372,41101
9/13/20,92071,34372
9/14/20,83809,34423
9/15/20,90123,39492
9/16/20,97894,39030
9/17/20,96424,45130
9/18/20,93337,49282
9/19/20,92605,42202
9/20/20,86961,38447
9/21/20,75083,51878
9/22/20,83347,39866
9/23/20,86508,39069
9/24/20,86052,47103
9/25/20,85362,48295
9/26/20,88600,44673
9/27/20,82170,37528
9/28/20,70589,33294
9/29/20,80472,43338
9/30/20,86821,39443
10/1/20,81484,45650
10/2/20,79476,54950
10/3/20,75829,48577
10/4/20,74442,35738
10/5/20,61267,39376
10/6/20,72049,45289
10/7/20,78524,51056
10/8/20,70496,58599
10/9/20,73272,56384
10/10/20,74383,54953
10/11/20,66732,45981
10/12/20,55342,41774
10/13/20,63509,52231
10/14/20,67708,59778
10/15/20,63371,64880
10/16/20,62212,69147
10/17/20,61871,56759
10/18/20,55722,49367
10/19/20,46790,67717
10/20/20,54044,61956
10/21/20,55839,63301
10/22/20,54366,76310
10/23/20,53370,81933
10/24/20,50129,82767
10/25/20,45148,62204
10/26/20,36470,67310
10/27/20,43893,76838
10/28/20,49881,79426
10/29/20,48648,91019
10/30/20,48268,99264
10/31/20,46963,89754
11/1/20,45231,104900
11/2/20,38310,85211
11/3/20,46253,127198
11/4/20,50210,104541
11/5/20,47638,129367
11/6/20,50356,128033
11/7/20,45674,127510
11/8/20,45903,115170
11/9/20,38073,120434
11/10/20,44281,140504
11/11/20,47905,146750
11/12/20,44879,164750
11/13/20,44684,180398
11/14/20,41100,167926
11/15/20,30548,136356
11/16/20,29163,162624
11/17/20,38617,163958
11/18/20,45576,173251
11/19/20,45882,191510
11/20/20,46232,198333
11/21/20,45209,179436
11/22/20,44059,146947
11/23/20,37975,174089
11/24/20,44376,175544
11/25/20,44489,183403
11/26/20,43082,112526
11/27/20,41322,207933
11/28/20,41810,155661
11/29/20,38772,140328
11/30/20,31118,160321
12/1/20,36604,188339
12/2/20,35551,202894
12/3/20,36595,223421
12/4/20,36652,232644
12/5/20,36011,215811
12/6/20,32981,181253
12/7/20,26567,194409
12/8/20,32080,224452
12/9/20,31521,222648
12/10/20,29373,231428
12/11/20,30031,240089
12/12/20,30254,217797
12/13/20,27071,187971
12/14/20,22065,194314
12/15/20,26382,208992
12/16/20,24010,246644
12/17/20,22890,239900
12/18/20,25152,251832
12/19/20,26624,192102
12/20/20,24337,188015
12/21/20,19556,198703
12/22/20,23950,198107
12/23/20,24712,229624
12/24/20,23067,194155
12/25/20,22273,97880
12/26/20,18732,226416
12/27/20,20021,155845
12/28/20,16432,174152
12/29/20,20549,200408
12/30/20,21822,233701
12/31/20,0,235600
1/1/21,20035,153916
1/2/21,37256,300462
1/3/21,16504,208853
1/4/21,16375,184005
1/5/21,18088,235042
1/6/21,20346,255637
1/7/21,18139,278337
1/8/21,0,295257
1/9/21,36867,260967
1/10/21,16311,213415
1/11/21,12584,214664
1/12/21,15968,226967
1/13/21,16946,230301
1/14/21,15590,235766
1/15/21,15158,242780
1/16/21,15144,201858
1/17/21,13788,177931
1/18/21,10050,143598
1/19/21,13816,176216
1/20/21,15244,183261
1/21/21,14545,193856
1/22/21,14256,190760
1/23/21,14849,170759
1/24/21,13203,131198
1/25/21,9102,151677
1/26/21,12689,147626
1/27/21,11666,153961
1/28/21,18855,168804
1/29/21,13082,166613
1/30/21,13044,142459
1/31/21,11436,112152
2/1/21,8635,134975
2/2/21,11039,115303
2/3/21,12899,121691
2/4/21,12408,124006
2/5/21,11713,134422
2/6/21,12059,104176
2/7/21,11831,89746
2/8/21,9110,90438
2/9/21,11067,95265
2/10/21,12923,95250
2/11/21,9309,105764
2/12/21,12143,99670
2/13/21,12194,87219
2/14/21,11649,65135
2/15/21,9121,54279
2/16/21,11610,62498
2/17/21,12881,70139
2/18/21,13193,69911
2/19/21,13993,79282
2/20/21,14264,71696
2/21/21,14199,57152
2/22/21,10584,56159
2/23/21,13742,72270
2/24/21,16738,74749
2/25/21,16577,77504
2/26/21,16488,77349
2/27/21,16752,64626
2/28/21,15510,51422
3/1/21,12286,58098
3/2/21,14989,57098
3/3/21,17407,67191
3/4/21,16838,68060
3/5/21,18284,66419
3/6/21,18754,58254
3/7/21,18599,41073
3/8/21,15388,44917
3/9/21,17921,57667
3/10/21,22854,57895
3/11/21,23285,62471
3/12/21,24882,61513
3/13/21,25320,53031
3/14/21,26291,38278
3/15/21,24492,56541
3/16/21,28903,54008
3/17/21,35871,59280
3/18/21,39726,60375
3/19/21,40953,61651
3/20/21,43846,55519
3/21/21,46951,33822
3/22/21,40715,51436
3/23/21,47262,53688
3/24/21,53476,86938
3/25/21,59118,67546
3/26/21,62258,77377
3/27/21,62714,62842
3/28/21,68020,43223
3/29/21,56211,69273
3/30/21,53480,61429
3/31/21,72330,66765
4/1/21,81466,79119
4/2/21,89129,69887
4/3/21,93249,63261
4/4/21,103558,35133
4/5/21,96982,77404
4/6/21,115736,60674
4/7/21,126789,75021
4/8/21,131968,79894
4/9/21,145384,82710
4/10/21,152879,66687
4/11/21,168912,46509
4/12/21,161736,70075
4/13/21,184372,77966
4/14/21,200739,75403
4/15/21,217353,74308
4/16/21,234692,80071
4/17/21,261394,52532
4/18/21,273802,42121
4/19/21,259167,68105
4/20/21,295158,60949
4/21/21,314644,62855
4/22/21,332921,67278
4/23/21,346786,62411
4/24/21,349691,53495
4/25/21,352991,32153
4/26/21,323023,47568
4/27/21,360927,50836
4/28/21,379308,55150
4/29/21,386555,58251
4/30/21,401993,57919
5/1/21,392488,45391
5/2/21,368060,29403
5/3/21,357316,50491
5/4/21,382146,40723
5/5/21,412431,44704
5/6/21,414188,47557
5/7/21,401078,48130
5/8/21,403405,33675
5/9/21,366494,21427
5/10/21,329942,36798
5/11/21,348421,33662
5/12/21,362727,35826
5/13/21,343144,38076
5/14/21,326098,42260
5/15/21,311170,28857
5/16/21,281386,16875
5/17/21,263533,28621
5/18/21,267334,27789
5/19/21,276110,29301
5/20/21,259551,30206
5/21/21,257299,27946
5/22/21,240842,19798
5/23/21,222315,12868
5/24/21,196427,25815
5/25/21,208921,22739
5/26/21,211298,23976
5/27/21,186364,27448
5/28/21,173790,21859
5/29/21,165553,12001
5/30/21,152734,6734
5/31/21,127510,5775
6/1/21,132788,22940
6/2/21,134154,16917
6/3/21,132364,19080
6/4/21,120529,16850
6/5/21,114460,13906
6/6/21,100636,5395
6/7/21,86498,15496
6/8/21,92596,13013
6/9/21,93463,18647
6/10/21,92291,14545
6/11/21,84332,24699
6/12/21,80834,8228
6/13/21,70421,4777
6/14/21,60471,12730
6/15/21,62224,11305
6/16/21,67208,12425
6/17/21,62480,10393
6/18/21,60753,20591
6/19/21,58226,8520
6/20/21,53449,3892
6/21/21,42640,12334
6/22/21,50848,10940
6/23/21,54069,12436
6/24/21,51667,12830
6/25/21,48698,23715
6/26/21,50040,7303
6/27/21,46148,3920
6/28/21,37566,15083
6/29/21,45951,11350
6/30/21,48786,13118
7/1/21,46617,14463
7/2/21,44111,29892
7/3/21,43071,4739
7/4/21,39796,3697
7/5/21,34703,5528
7/6/21,43733,24224
7/7/21,45892,22931
7/8/21,43393,20061
7/9/21,42766,48241
7/10/21,41506,9038
7/11/21,37154,6164
7/12/21,0,35013
7/13/21,71771,26424
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
